
# disk,name,size...

DEBUG srcfile : system .fo
#FILE: system.dsk  DISK: SYSTEM #1  CREATED: 09-Feb-2020
games INVADER.CMD 21 05-Jan-1997 -
games INVADER.DOC 1 06-Jan-1997 -
games LANDUNG.CMD 24 08-Mar-1985 -
games LANDUNG.DOC 1 06-Jan-1997 -
games LIFE.CMD 5 08-Mar-1985 -
games LIFE.DOC 1 06-Jan-1997 -
games LIST.CMD 3 26-Oct-1983 -
games PACMANS.CMD 11 03-Mar-1985 -
games PACMANS.DOC 1 06-Jan-1997 -
games PAGE0.CMD 1 08-Mar-1985 -
games PAGE0.TXT 2 08-Jan-1997 -
games PAGE1.CMD 1 08-Mar-1985 -
games PAGE1.TXT 2 08-Jan-1997 -
games PAINT1.CMD 6 09-Jan-1997 -
games PAINT1.TXT 35 09-Jan-1997 -
games PROKYON.BAK 2 06-Jan-1997 -
games PROKYON.CMD 69 01-Apr-1984 -
games PROKYON.DOC 1 13-Jun-1997 -
games SARGON.CMD 56 10-Mar-1985 -
games STARTUP.TXT 1 06-Jan-1997 -
games SWITCHB.CMD 1 08-Mar-1985 -
games SWITCHB.TXT 2 08-Jan-1997 -
games ZEIT.CMD 2 07-Jan-1997 -
# :  ['FILES=39,', 'SECTORS=555,', 'LARGEST=104,', 'FREE=125']
#
#FILE: pictures.dsk  DISK: PICTURES #1  CREATED: 09-Feb-2020
# :  ['FILE#', 'NAME', 'TYPE', 'BEGIN', 'END', 'SIZE', 'DATE', 'PRT', 'RND']
pictures DISKBILD.CMD 2 10-Oct-1984 -
pictures DISKBILD.TXT 12 08-Jan-1997 -
pictures DISKBLD.CMD 2 17-Mar-1985 -
pictures DISKBLD.TXT 12 08-Jan-1997 -
pictures HALBKUGL.DIA 67 14-Mar-1985 -
pictures HIRES.DIA 67 14-Mar-1985 -
pictures HSBOSS.DIA 67 28-Nov-1984 -
pictures KUGEL.DIA 67 14-Mar-1985 -
pictures KUGLDEMO.DIA 67 28-Nov-1984 -
pictures N100885S.DIA 265 10-Aug-1985 -
pictures N220885S.DIA 265 22-Aug-1985 -
pictures NOAA1400.DIA 265 25-Aug-1985 -
pictures POTENTIA.DIA 67 14-Mar-1985 -
pictures PYRAMIDE.DIA 67 14-Mar-1985 -
pictures SATTEL.DIA 67 14-Mar-1985 -
pictures SCHWING.DIA 67 14-Mar-1985 -
# :  ['FILES=16,', 'SECTORS=1426,', 'LARGEST=265,', 'FREE=1418']
#
#FILE: source.dsk  DISK: SOURCE #1  CREATED: 09-Feb-2020
# :  ['FILE#', 'NAME', 'TYPE', 'BEGIN', 'END', 'SIZE', 'DATE', 'PRT', 'RND']
source BROWSE.CMD 3 22-Feb-2004 -
source BROWSE.TXT 21 22-Feb-2004 -
source CPUTEST.CMD 20 22-Jul-2003 -
source CPUTEST.TXT 122 22-Jul-2003 -
source CRTSET.SYS 1 21-Feb-2004 -
source CRTSET.TXT 2 22-Feb-2004 -
source DAA.CMD 2 22-Jul-2003 -
source DAA.TXT 6 22-Jul-2003 -
source EMU.CMD 1 21-May-1997 -
source EMU.TXT 3 21-May-1997 -
source ERRORS.SYS 9 03-Jan-1998 R
source EULC.C 13 05-Oct-1986 -
source EULER.CMD 5 09-Jan-1997 -
source EULER.TXT 79 09-Jan-1997 -
source EXAMALL.CMD 11 03-Mar-1986 -
source EXIT.CMD 1 13-Jan-2019 -
source EXIT.TXT 1 13-Jan-2019 -
source FDIR.CMD 8 21-Feb-2004 -
source FDIR.TXT 48 21-Feb-2004 -
source MOUNT.CMD 1 20-Feb-2004 -
source MOUNT.TXT 5 20-Feb-2004 -
source PI.CMD 6 09-Jan-1997 -
source PI.TXT 85 09-Jan-1997 -
source PRIM7.C 4 16-Mar-1987 -
source RCVFILE.CMD 2 22-Jul-2003 -
source RCVFILE.TXT 14 26-Feb-2019 -
source RTC.CMD 3 01-Jun-1997 -
source RTC.LIS 45 01-Jun-1997 -
source RTC.TXT 24 01-Jun-1997 -
source RTC.UNX 28 01-Jun-1997 -
source SQROOT.CMD 6 09-Jan-1997 -
source SQROOT.TXT 83 09-Jan-1997 -
source TERMINAL.TXT 3 25-May-1997 -
source TERMINAL.UNX 4 25-May-1997 -
source TERMTEST.CMD 1 25-Mar-1997 -
source TERMTEST.TXT 1 25-Mar-1997 -
source TEST.TXT 6 23-Jan-1997 -
source TIME.CMD 3 01-Jun-1997 -
source TIME.LIS 38 01-Jun-1997 -
source TIME.TXT 16 01-Jun-1997 -
source TIMESET.CMD 5 22-May-1997 -
source TIMESET.TXT 24 01-May-1997 -
source TOUNIX.ASM 17 13-Apr-1997 -
source TOUNIX.CMD 3 22-Jul-2003 -
source TOUNIX.TXT 17 22-Jul-2003 -
source UFSTEST1.BIN 1 22-Aug-1996 -
source UFSTEST1.TXT 6 21-Aug-1996 -
source UFSTEST2.CMD 1 21-Aug-1996 -
source UFSTEST2.TXT 5 21-Aug-1996 -
source UMOUNT.CMD 1 20-Feb-2004 -
source UNDOC.CMD 7 22-Jul-2003 -
source UNDOC.TXT 55 22-Jul-2003 -
source FORM68.TXT 46 14-Jan-1987 -
source FORM68.CMD 4 14-Jan-1987 -
source TEST68.TXT 49 20-Feb-2020 -
source TEST68.CMD 4 20-Feb-2020 -
source NEWDISK.CMD 9 30-Nov-1983 -
source NEWDISK.TXT 93 30-Nov-1983 -
source RDADDR.TXT 37 07-Mar-2020 -
source RDADDR.CMD 3 07-Mar-2020 -
source RDMULSEC.TXT 41 07-Mar-2020 -
source RDMULSEC.CMD 4 07-Mar-2020 -
# :  ['FILES=62,', 'SECTORS=1166,', 'LARGEST=122,', 'FREE=238']
